Season,game_id,game_date,home_team,away_team,Team,GF,GA,SF,SA,SF.,SF_5v5,SA_5v5,SF_5v5.,BlkF,BlkA,GF_5v5,GA_5v5,GF_pp,GA_pp,GF_sh,GA_sh,FOW,FOL,periods,Sh.,Sv.,PDO
2018,22207005,2018-10-06,MIN,MET,MIN,4,0,23,22,0.51,16,16,0.5,6,9,2,0,1,0,1,0,16,22,3,0.17,1,1.17
2018,22207005,2018-10-06,MIN,MET,MET,0,4,22,23,0.49,16,16,0.5,9,6,0,2,0,1,0,1,22,16,3,0,0.83,0.83
2018,22207007,2018-10-07,MIN,MET,MIN,3,1,17,21,0.45,14,15,0.48,0,0,3,0,0,0,0,1,28,23,3,0.18,0.95,1.13
2018,22207007,2018-10-07,MIN,MET,MET,1,3,21,17,0.55,15,14,0.52,0,0,0,3,0,0,1,0,23,28,3,0.05,0.82,0.87
2018,22207010,2018-10-07,CTW,BUF,CTW,0,4,10,34,0.23,7,25,0.22,14,5,0,4,0,0,0,0,17,34,3,0,0.88,0.88
2018,22207010,2018-10-07,CTW,BUF,BUF,4,0,34,10,0.77,25,7,0.78,5,14,4,0,0,0,0,0,34,17,3,0.12,1,1.12
2018,22207012,2018-10-13,BOS,MET,BOS,5,1,32,17,0.65,31,10,0.76,0,0,5,1,0,0,0,0,25,20,3,0.16,0.94,1.0999999999999999
2018,22207012,2018-10-13,BOS,MET,MET,1,5,17,32,0.35,10,31,0.24,0,0,1,5,0,0,0,0,20,25,3,0.06,0.84,0.8999999999999999
2018,22207013,2018-10-13,BUF,CTW,BUF,7,0,27,22,0.55,25,18,0.58,2,8,7,0,0,0,0,0,33,21,3,0.26,1,1.26
2018,22207013,2018-10-13,BUF,CTW,CTW,0,7,22,27,0.45,18,25,0.42,8,2,0,7,0,0,0,0,21,33,3,0,0.74,0.74
2018,22207014,2018-10-20,BOS,CTW,BOS,4,2,28,13,0.68,21,10,0.68,3,2,1,2,1,0,2,0,20,26,3,0.14,0.85,0.99
2018,22207014,2018-10-20,BOS,CTW,CTW,2,4,13,28,0.32,10,21,0.32,2,3,2,1,0,1,0,2,26,20,3,0.15,0.86,1.01
2018,22207015,2018-10-20,MET,MIN,MET,3,5,24,16,0.6,18,15,0.55,5,4,3,4,0,1,0,0,18,31,3,0.12,0.69,0.8099999999999999
2018,22207015,2018-10-20,MET,MIN,MIN,5,3,16,24,0.4,15,18,0.45,4,5,4,3,1,0,0,0,31,18,3,0.31,0.88,1.19
2018,22207016,2018-10-21,MET,MIN,MET,2,6,24,23,0.51,17,14,0.55,6,8,2,5,0,1,0,0,22,28,3,0.08,0.74,0.82
2018,22207016,2018-10-21,MET,MIN,MIN,6,2,23,24,0.49,14,17,0.45,8,6,5,2,1,0,0,0,28,22,3,0.26,0.92,1.1800000000000002
2018,22207019,2018-10-27,MIN,BUF,MIN,3,2,25,35,0.42,19,28,0.4,2,0,3,2,0,0,0,0,25,31,3,0.12,0.94,1.06
2018,22207019,2018-10-27,MIN,BUF,BUF,2,3,35,25,0.58,28,19,0.6,0,2,2,3,0,0,0,0,31,25,3,0.06,0.88,0.94
2018,22207022,2018-10-27,BOS,MET,BOS,2,3,35,26,0.57,34,22,0.61,0,0,2,2,0,0,0,1,32,23,3,0.06,0.88,0.94
2018,22207022,2018-10-27,BOS,MET,MET,3,2,26,35,0.43,22,34,0.39,0,0,2,2,0,0,1,0,23,32,3,0.12,0.94,1.06
2018,22207024,2018-10-28,MIN,BUF,MIN,2,0,28,34,0.45,20,33,0.38,10,7,2,0,0,0,0,0,31,26,3,0.07,1,1.07
2018,22207024,2018-10-28,MIN,BUF,BUF,0,2,34,28,0.55,33,20,0.62,7,10,0,2,0,0,0,0,26,31,3,0,0.93,0.93
2018,22207027,2018-11-17,BOS,BUF,BOS,4,1,22,25,0.47,20,24,0.45,0,0,4,1,0,0,0,0,19,28,3,0.18,0.96,1.14
2018,22207027,2018-11-17,BOS,BUF,BUF,1,4,25,22,0.53,24,20,0.55,0,0,1,4,0,0,0,0,28,19,3,0.04,0.82,0.86
2018,22207030,2018-11-18,BOS,BUF,BOS,2,5,24,15,0.62,20,13,0.61,0,0,1,4,1,0,0,1,18,24,3,0.08,0.67,0.75
2018,22207030,2018-11-18,BOS,BUF,BUF,5,2,15,24,0.38,13,20,0.39,0,0,4,1,0,1,1,0,24,18,3,0.33,0.92,1.25
2018,22207031,2018-11-18,MET,CTW,MET,1,2,25,18,0.58,17,15,0.53,4,7,1,1,0,0,0,0,27,18,3,0.04,0.89,0.93
2018,22207031,2018-11-18,MET,CTW,CTW,2,1,18,25,0.42,15,17,0.47,7,4,1,1,0,0,0,0,18,27,3,0.11,0.96,1.07
2018,22207034,2018-11-25,MET,CTW,MET,3,3,35,33,0.51,24,23,0.51,4,6,3,1,0,1,0,1,26,33,5,0.09,0.91,1
2018,22207034,2018-11-25,MET,CTW,CTW,3,3,33,35,0.49,23,24,0.49,6,4,1,3,1,0,1,0,33,26,5,0.09,0.91,1
2018,22207035,2018-12-01,MIN,BOS,MIN,1,5,36,21,0.63,25,18,0.58,6,8,1,3,0,0,0,1,29,31,3,0.03,0.76,0.79
2018,22207035,2018-12-01,MIN,BOS,BOS,5,1,21,36,0.37,18,25,0.42,8,6,3,1,0,0,1,0,31,29,3,0.24,0.97,1.21
2018,22207038,2018-12-02,MIN,BOS,MIN,2,7,26,20,0.57,26,19,0.58,4,6,2,6,0,0,0,1,34,34,3,0.08,0.65,0.73
2018,22207038,2018-12-02,MIN,BOS,BOS,7,2,20,26,0.43,19,26,0.42,6,4,6,2,0,0,1,0,34,34,3,0.35,0.92,1.27
2018,22207040,2018-12-02,CTW,MET,CTW,4,0,14,31,0.31,13,23,0.36,1,0,3,0,0,0,1,0,18,36,3,0.29,1,1.29
2018,22207040,2018-12-02,CTW,MET,MET,0,4,31,14,0.69,23,13,0.64,0,1,0,3,0,0,0,1,36,18,3,0,0.71,0.71
2018,22207041,2018-12-08,BUF,CTW,BUF,3,1,32,10,0.76,24,10,0.71,3,7,3,1,0,0,0,0,23,15,3,0.09,0.9,0.99
2018,22207041,2018-12-08,BUF,CTW,CTW,1,3,10,32,0.24,10,24,0.29,7,3,1,3,0,0,0,0,15,23,3,0.1,0.91,1.01
2018,22207043,2018-12-09,MET,BOS,MET,2,5,21,30,0.41,16,25,0.39,3,5,1,1,0,2,1,2,14,34,3,0.1,0.83,0.9299999999999999
2018,22207043,2018-12-09,MET,BOS,BOS,5,2,30,21,0.59,25,16,0.61,5,3,1,1,2,0,2,1,34,14,3,0.17,0.9,1.07
2018,22207045,2018-12-29,BUF,MIN,BUF,1,2,33,25,0.57,26,12,0.68,3,7,0,1,0,0,1,1,34,26,3,0.03,0.92,0.9500000000000001
2018,22207045,2018-12-29,BUF,MIN,MIN,2,1,25,33,0.43,12,26,0.32,7,3,1,0,0,0,1,1,26,34,3,0.08,0.97,1.05
2018,22207047,2019-01-02,CTW,BOS,CTW,1,2,16,33,0.33,8,23,0.26,20,5,1,2,0,0,0,0,24,25,4,0.06,0.94,1
2018,22207047,2019-01-02,CTW,BOS,BOS,2,1,33,16,0.67,23,8,0.74,5,20,2,1,0,0,0,0,25,24,4,0.06,0.94,1
2018,22207049,2018-12-30,BUF,MIN,BUF,4,0,23,33,0.41,17,26,0.4,14,3,2,0,2,0,0,0,25,35,3,0.17,1,1.17
2018,22207049,2018-12-30,BUF,MIN,MIN,0,4,33,23,0.59,26,17,0.6,3,14,0,2,0,2,0,0,35,25,3,0,0.83,0.83
2018,22207052,2019-01-05,BUF,BOS,BUF,5,0,35,30,0.54,32,23,0.58,4,3,4,0,1,0,0,0,23,33,3,0.14,1,1.1400000000000001
2018,22207052,2019-01-05,BUF,BOS,BOS,0,5,30,35,0.46,23,32,0.42,3,4,0,4,0,1,0,0,33,23,3,0,0.86,0.86
2018,22207053,2019-01-06,CTW,MET,CTW,3,6,18,13,0.58,12,11,0.52,3,11,2,4,1,0,0,2,27,24,3,0.17,0.54,0.7100000000000001
2018,22207053,2019-01-06,CTW,MET,MET,6,3,13,18,0.42,11,12,0.48,11,3,4,2,0,1,2,0,24,27,3,0.46,0.83,1.29
2018,22207055,2019-01-12,BOS,MIN,BOS,5,4,20,26,0.43,16,24,0.4,0,0,4,4,1,0,0,0,27,15,3,0.25,0.85,1.1
2018,22207055,2019-01-12,BOS,MIN,MIN,4,5,26,20,0.57,24,16,0.6,0,0,4,4,0,1,0,0,15,27,3,0.15,0.75,0.9
